"V1" "V2" "V3" "V4" "V5"
1.00991 15.00803 10.37935 7.3437 26.38351
1.22757 15.6109 9.4722 7.68816 26.12435
1.21871 14.94171 9.3491 7.69256 26.8686
1.07777 15.14331 8.93121 7.60811 27.29426
1.13055 15.62449 9.15164 8.10272 26.09462
1.15498 15.27337 10.14523 7.33872 26.21759
1.03588 16.12766 8.66031 7.08789 27.14563
1.03914 14.67839 9.8196 7.1974 27.34024
1.03783 15.23675 9.43591 7.07947 27.25205
1.08073 14.37184 9.6833 7.57683 27.33341
1.07302 14.10125 9.60239 7.93835 27.33499
1.25423 14.77319 9.44156 8.0259 26.56044
1.1494 14.87009 9.32032 8.07485 26.6497
1.16351 15.09182 9.12613 8.14874 26.53307
1.08709 14.78509 10.22549 8.22625 25.79224
1.22272 15.10161 10.46461 7.34493 25.95144
1.29763 15.01712 9.49614 7.57731 26.6894
1.3198 14.5731 10.91511 7.29756 26.0153
1.21331 14.86685 11.61233 7.44979 25.09366
1.14688 14.5092 10.80044 7.52347 26.14153
0.96495 15.3084 10.51755 7.25968 26.12246
1.06705 15.26371 9.65733 8.27944 25.85782
1.03842 15.42884 9.58041 7.74577 26.29057
0.94413 14.6217 9.2851 7.78007 27.42795
0.8165 15.32498 9.3908 7.40124 27.10191
0.90824 15.49838 9.61566 7.10038 26.93241
1.02311 15.81677 8.8441 7.90488 26.47805
1.10985 14.98462 8.63827 7.67083 27.63233
1.04618 15.57623 8.83061 7.3186 27.26398
1.03064 15.27555 9.41735 7.63781 26.69746
1.17191 14.5525 9.67921 7.88137 26.77924
1.1174 14.68167 10.00182 7.01103 27.23122
1.13092 15.12467 9.27412 7.11873 27.3932
0.92579 16.09129 9.81109 6.53112 26.74153
1.08358 15.56107 9.5819 7.55267 26.28309
1.13973 15.50826 9.0005 7.80887 26.59639
0.95157 15.40699 9.58677 7.149 26.96543
1.04585 15.44764 9.55456 7.21731 26.81069
0.93522 15.89714 9.23499 7.63348 26.37245
1.02646 15.37085 9.89182 6.95271 26.81802
1.07072 16.08375 8.90807 7.24327 26.75258
1.03113 16.94245 8.73323 7.46885 25.91029
1.12804 14.65379 9.87485 7.70421 26.75251
1.09934 14.95639 9.35089 8.00493 26.64462
1.01935 15.29963 9.78568 7.97027 25.98929
0.91758 15.84906 9.99254 7.83642 25.48132
1.06431 15.71581 9.60724 8.2507 25.45193
1.10595 15.44679 8.73471 8.435 26.35227
1.0761 15.54427 9.20413 7.86806 26.36784
1.15438 15.55357 8.42486 8.32792 26.60107
0.98198 15.44571 8.99393 8.15275 26.47941
0.99628 15.59626 9.2027 7.78429 26.4661
1.13198 15.90851 8.1938 7.49368 27.31952
1.20787 15.39996 9.98418 7.14576 26.35792
1.1696 15.32014 8.82784 8.63457 26.10876
1.36657 14.61187 8.8559 8.15729 27.08706
1.2918 15.50338 9.8692 7.68647 25.81525
1.33499 15.09889 10.22448 7.43381 26.04449
1.44369 13.9376 10.67277 7.37331 26.73397
1.07197 14.73042 9.75752 8.34068 26.21448
1.25039 14.39169 10.13514 8.41375 25.91318
1.2559 15.6487 9.32742 8.26448 25.58841
1.18453 14.2227 9.68915 8.06134 26.9024
1.30709 15.25098 9.29525 7.53554 26.67837
1.21548 15.05655 9.65506 8.10077 26.07993
1.41326 14.71031 9.87956 8.14421 26.01736
1.33428 15.18964 9.85054 8.33126 25.45422
1.43461 15.77527 8.59857 8.72861 25.57397
1.15169 14.61578 9.05209 8.4255 26.84385
1.21635 13.96385 8.76855 9.32808 26.83165
1.28152 15.01008 9.70459 8.16312 25.95604
1.352 15.07237 9.30035 8.54251 25.86621
1.45495 14.85952 9.08143 8.6571 26.06872
1.37558 15.46015 9.29738 8.28401 25.69748
1.19863 15.6096 10.05924 7.74722 25.51787
1.22206 15.50937 8.50935 8.6707 26.21318
1.3207 15.25644 9.71736 8.26215 25.59545
1.08738 14.73948 9.62956 8.6159 26.02699
1.02536 15.33732 9.4681 7.93344 26.33855
1.14644 15.31348 9.37915 7.58036 26.66996
1.23812 15.43005 8.97008 8.13479 26.3134
1.21969 15.31313 9.3616 8.08081 26.11776
1.11449 15.17958 8.96208 8.86267 25.9915
1.6992 15.26517 9.09112 8.11533 25.93584
1.22841 15.05596 8.98969 8.41277 26.40172
1.18567 15.41181 8.32284 8.15607 26.97877
1.21354 15.7037 8.81749 7.7489 26.60025
1.38255 14.91487 9.3836 7.50805 26.88253
1.20092 16.36544 8.75217 7.56456 26.21159
1.26064 15.56824 9.61006 7.43737 26.21283
1.01978 15.43932 10.38708 7.89543 25.39527
1.24112 14.87847 10.16993 7.91518 25.88654
1.247 15.8778 9.64659 7.98669 25.36391
1.31886 15.02549 10.25752 7.84554 25.6751
1.12995 15.43953 9.87317 7.68955 25.94532
1.22515 15.73274 8.6138 7.89362 26.58263
1.10541 15.48964 9.361 7.67254 26.46243
1.0754 15.37868 9.37011 6.81556 27.42203
1.21975 15.91339 9.17084 7.03682 26.71298
1.18029 15.50766 8.65943 8.19687 26.52515
1.09602 15.32361 8.8212 8.37145 26.44408
1.29029 15.82463 8.41753 8.41396 26.1374
1.12374 15.14098 8.77064 9.03184 26.04079
1.29892 14.69049 8.95004 8.58352 26.54829
1.33452 14.77673 8.93219 8.083 26.94137
1.1687 14.96163 9.11563 8.43613 26.39787
1.42529 14.81986 9.2533 8.86904 25.75197
1.41032 14.17985 9.32793 8.32505 26.81818
1.29015 14.68271 9.32687 9.04508 25.78238
1.151 14.85844 9.74191 8.26879 26.1158
1.18619 15.1118 9.60069 8.52704 25.67591
1.307 14.73241 9.9857 8.01215 26.09819
1.27403 14.88441 9.26889 8.64192 26.04785
1.3464 15.20879 9.59317 8.55142 25.40531
1.21013 15.62715 9.68436 8.27093 25.34195
1.24867 14.96843 9.76903 7.87691 26.22156
1.14634 15.58549 9.67962 7.85809 25.81737
1.35488 15.28305 8.98918 8.28967 26.1682
1.32378 14.84227 9.76903 7.80216 26.32336
1.40706 15.58218 9.72962 7.85048 25.51468
1.4702 15.41522 10.19213 7.98529 25.08686
1.38916 14.31805 10.79321 7.91817 25.70521
1.32095 14.36731 10.09889 8.16956 26.1498
1.61729 15.25086 9.24505 8.25727 25.76889
1.31536 15.03568 9.53802 8.59165 25.64279
1.32813 14.64345 10.22434 8.5812 25.38111
1.3018 14.69168 10.65901 7.76992 25.70136
1.32414 15.34359 10.30431 8.02701 25.11738
1.25727 15.40066 9.97906 8.0633 25.41496
1.3559 15.06437 10.03725 8.24811 25.38695
1.45999 15.44196 9.21529 7.88223 26.07435
1.3191 15.10725 9.86684 8.02879 25.75318
1.317 14.98467 9.42736 8.37819 25.97928
1.41448 15.31356 9.15443 8.98852 25.23757
1.0945 14.61129 9.93921 8.87855 25.55782
1.21033 15.18217 8.62946 8.68069 26.37304
1.32391 14.80248 9.78749 8.03484 26.12559
1.28069 15.24796 8.50507 8.31745 26.71357
1.28715 14.69143 9.40594 7.69146 26.99616
1.38865 14.97067 9.29208 8.64097 25.81828
1.285 15.25048 9.87455 8.07996 25.60318
1.41594 15.08963 10.62413 7.4104 25.56284
1.47656 14.89656 10.15502 8.05224 25.53562
1.37016 15.29827 8.6179 8.3789 26.44024
