"V1" "V2" "V3" "V4" "V5"
4.3417 25.20225 1.04755 0.51643 28.96281
4.39465 25.14057 1.0511 0.46074 29.018
4.39617 25.31086 1.06648 0.47801 28.80563
4.13954 25.08638 1.00892 0.51186 29.30474
4.04006 25.07328 1.02378 0.51265 29.41861
4.37172 25.19448 1.07829 0.48879 28.93116
4.28983 25.10588 1.10228 0.56316 29.02373
4.01706 24.68418 1.07992 0.52626 29.76787
3.96884 25.02615 1.0682 0.48133 29.51668
4.13045 25.1366 1.10125 0.50809 29.19088
4.17187 24.91386 1.14652 0.49442 29.34356
4.48796 24.53525 1.19225 0.48064 29.36482
4.15399 24.78227 1.15811 0.41903 29.53313
4.3976 25.32014 1.11625 0.48975 28.73471
4.41907 25.04249 1.1093 0.49057 29.00844
4.47524 25.05368 1.09645 0.59552 28.89441
4.14842 25.14852 1.14365 0.54211 29.10136
4.25682 25.23945 1.15773 0.55744 28.85597
4.07104 25.17921 1.1437 0.53682 29.13259
3.93494 25.07994 1.06695 0.54008 29.45325
4.13659 25.21438 1.13252 0.52274 29.0811
4.08623 25.01006 1.17504 0.44377 29.33843
4.07557 25.23957 1.21508 0.52172 29.02044
4.28153 25.39093 1.18078 0.53604 28.69065
4.17005 25.04595 1.20652 0.49785 29.15823
4.08193 24.74704 1.09552 0.41199 29.71061
4.26778 24.90251 1.17791 0.42786 29.26692
4.34606 25.09914 1.19304 0.46168 28.98233
4.27231 24.88418 1.09735 0.50168 29.30625
4.21978 24.82316 1.13649 0.46738 29.41785
4.17617 25.16785 1.08793 0.46339 29.16039
4.10023 25.06706 1.04814 0.4876 29.36057
4.1267 25.25088 1.13946 0.50122 29.04778
4.34282 25.47026 1.13777 0.45395 28.65807
4.14931 25.10486 1.11864 0.40387 29.26103
4.13876 25.14797 1.1558 0.40547 29.19487
4.25014 25.07353 1.17684 0.46999 29.08693
4.11927 25.22166 1.18798 0.52282 29.01725
4.23001 25.0634 1.14284 0.49355 29.1383
4.23345 25.16162 1.13128 0.54044 28.99988
4.11155 25.43969 1.10147 0.51503 28.88895
4.27233 25.32677 1.14486 0.47901 28.83341
4.00026 25.29852 1.07556 0.51537 29.15687
4.10627 25.43116 1.09087 0.5675 28.85818
4.28665 25.65675 1.03775 0.54983 28.52375
4.04965 25.2371 1.03429 0.48101 29.23889
4.28928 25.24048 1.12699 0.5142 28.87971
4.21267 25.38422 1.13533 0.46051 28.85507
4.13786 25.41714 1.1357 0.43459 28.9203
4.17762 25.04459 1.14076 0.4866 29.1935
4.01866 24.98746 1.07619 0.42622 29.51324
3.92051 25.60722 1.08487 0.40681 29.00739
3.96598 25.06365 1.10284 0.47005 29.44027
4.06117 25.78172 1.04131 0.54318 28.62276
3.97079 25.37761 1.04262 0.53021 29.12552
3.97996 25.47534 1.1212 0.50818 28.96946
4.11988 24.62597 1.12298 0.50513 29.6828
4.02484 25.01976 1.14742 0.50992 29.34628
4.03431 25.20532 1.1439 0.44764 29.21554
3.91679 25.20988 1.06136 0.42655 29.4164
3.99764 25.29936 1.07378 0.44591 29.22478
4.22739 24.92308 1.13954 0.44281 29.31316
4.25693 24.59792 1.10203 0.49974 29.59743
4.1814 24.88236 1.10551 0.5086 29.37909
4.22274 24.69074 1.10226 0.49062 29.54434
4.45331 24.8602 1.11406 0.51129 29.12042
4.47299 24.65037 1.16092 0.51025 29.26439
4.5383 24.88163 1.17688 0.61311 28.87877
4.32736 24.94349 1.22825 0.54035 29.024
4.34451 24.93218 1.22253 0.48817 29.05855
4.26234 24.8132 1.18129 0.58816 29.22878
4.05623 24.71955 1.20247 0.54418 29.54683
4.40083 24.50177 1.1847 0.50503 29.4619
4.03949 25.00757 1.12446 0.46228 29.41236
4.02617 25.31619 1.09806 0.45619 29.14855
3.94112 25.17768 1.09241 0.48345 29.37057
3.83176 25.22042 1.07232 0.43313 29.48399
4.04657 24.86651 1.13827 0.44482 29.53839
4.10848 25.02592 1.10306 0.48229 29.31445
4.2605 24.88407 1.12152 0.51967 29.25888
4.02676 25.23806 1.08955 0.52335 29.15596
3.91487 25.78327 1.05448 0.47572 28.80392
4.08433 25.28891 1.08097 0.54059 29.04832
4.01861 25.33291 1.14806 0.52299 29.01869
3.97698 25.38737 1.10307 0.46834 29.09594
3.96343 25.47856 1.14486 0.50621 28.94209
4.04447 25.17716 1.11154 0.5235 29.1925
4.09233 25.17404 1.04565 0.47077 29.26165
4.04485 25.09956 1.11442 0.43581 29.34303
4.09906 25.1841 1.17856 0.48414 29.08853
4.22117 25.12742 1.12654 0.46101 29.09264
4.12381 25.12596 1.04268 0.44675 29.28581
4.244 25.07218 1.12515 0.47202 29.12491
4.18953 25.06964 1.13832 0.44074 29.19214
4.08391 25.19074 1.1036 0.51074 29.16487
4.12367 24.77185 1.11962 0.52367 29.51348
4.08926 24.89898 1.11824 0.54948 29.39475
3.87668 25.16041 1.08785 0.52169 29.4091
3.93831 25.01346 1.06323 0.49314 29.53848
4.12118 25.26984 1.15535 0.53803 28.96108
4.06744 25.63688 1.1453 0.47481 28.70944
4.07301 25.26467 1.09567 0.50998 29.09389
4.00493 25.42153 1.15407 0.53241 28.92181
4.10585 25.04754 1.14532 0.55967 29.18979
4.07947 25.21487 1.13841 0.4523 29.15384
4.01406 24.9975 1.13425 0.50957 29.39543
