"V1" "V2" "V3" "V4" "V5"
0.45659 28.70116 3.61225 2.1949 25.10753
0.43348 27.9496 3.50024 2.3761 25.79773
0.39041 28.50155 3.59379 2.05789 25.51541
0.42749 29.22705 3.89699 1.99375 24.5263
0.42179 28.5017 3.82942 2.24598 25.07298
0.31408 28.16214 3.45531 2.58882 25.54456
0.4119 28.00816 4.39071 2.6727 24.6224
0.50009 30.148 3.9765 2.91051 22.64991
0.4565 29.99879 3.44826 2.71064 23.49187
0.40162 29.20232 3.34505 2.16889 24.95435
0.3804 30.10804 3.31394 2.32407 23.98928
0.38002 29.20408 3.75499 2.13032 24.6182
0.42492 28.50231 3.81497 2.12692 25.22873
0.44107 29.01789 3.61859 2.26276 24.7598
0.40981 28.82203 3.87068 2.01507 24.97957
0.49021 28.74778 3.32634 2.19606 25.2988
0.44183 29.89281 3.74294 2.50592 23.54243
0.48938 29.33997 3.18758 2.6057 24.46176
0.48374 28.82447 2.9858 2.43421 25.34391
0.47573 28.66032 3.46139 2.28359 25.20392
0.47792 29.2313 3.5319 2.27346 24.58275
0.47718 28.42925 3.73497 2.35894 25.08445
0.53185 29.13689 3.84287 2.32204 24.27508
0.57292 29.21444 3.30571 2.46764 24.54566
0.62419 29.1666 3.11971 2.34163 24.81809
0.56815 29.15161 3.0596 2.48812 24.80173
0.53488 29.25831 3.15324 2.5414 24.60621
0.49143 28.73597 3.34692 2.68829 24.81856
0.4478 28.46428 3.66552 2.70015 24.79944
0.39593 28.79487 3.39315 2.56846 24.93178
0.38746 29.15435 3.39258 2.38133 24.77451
0.47735 30.00139 3.21533 2.75873 23.63224
0.43729 29.58476 3.41471 2.54491 24.09881
0.51628 29.32262 3.01074 2.59475 24.64361
0.51432 27.60363 3.32648 2.44887 26.15612
0.44955 28.7551 3.32873 2.42865 25.08546
0.48216 29.13437 3.26289 2.51578 24.68213
0.46758 29.53431 3.21818 2.58775 24.27833
0.44388 29.70426 3.36334 2.58122 24.00753
0.45433 29.91009 3.49495 2.68569 23.56114
0.49764 28.76427 3.75079 2.69787 24.37363
0.46893 28.063 3.67999 2.49609 25.36604
0.39088 29.31648 3.40749 2.38312 24.58886
0.44594 29.38792 3.10658 2.25791 24.85914
0.50011 29.43098 3.19954 1.9887 24.95166
0.57268 28.97086 3.20605 1.99844 25.31399
0.54361 28.53638 3.47095 2.2457 25.27469
0.48868 30.62484 3.81912 2.32696 22.86951
0.51071 28.61904 4.06871 2.20716 24.67737
0.56752 29.82408 4.01432 2.28465 23.42737
0.59804 28.86968 3.7593 2.36258 24.47115
0.51933 29.0134 3.59195 2.50165 24.44823
0.44905 28.79463 4.11758 2.63411 24.13141
0.5223 29.17878 3.70337 2.87694 23.87467
0.53061 28.69343 3.39676 2.4095 25.0466
0.46335 29.71215 3.43466 2.42943 24.08736
0.42 29.47045 3.28 2.69731 24.24275
0.40205 29.82924 2.93123 2.52359 24.4076
0.32138 30.02003 2.82936 2.74818 24.20303
0.38691 30.12146 2.99241 2.607 23.99959
0.42418 29.1872 3.60903 2.25491 24.62252
0.41748 28.84116 3.52251 2.10327 25.20518
0.53517 29.4251 3.44091 2.40256 24.27948
0.43967 29.47536 3.2041 2.51698 24.45577
0.46097 29.91847 3.28663 2.75822 23.69017
0.40698 29.65802 3.44283 2.52728 24.09309
0.42511 29.45275 3.49919 2.62641 24.0962
0.42084 29.10767 3.46808 2.54191 24.55276
0.48467 31.21003 3.04263 2.60865 22.82211
0.46839 31.15179 3.3422 2.50928 22.71763
0.52419 29.17038 3.58948 2.32627 24.49399
0.46353 29.22572 3.68856 2.711 24.01233
0.41193 29.6903 3.72507 2.63492 23.67863
0.39958 29.01173 3.62963 2.87228 24.17978
0.40598 28.67351 3.19869 2.84017 24.95394
0.48986 29.23077 3.55125 2.67707 24.16504
0.46163 28.22588 3.58213 2.62786 25.19349
0.50888 29.16527 3.01723 2.48994 24.87635
0.46538 28.56557 3.36773 2.59668 25.07766
0.46413 30.03246 2.95742 2.77292 23.88863
0.41297 29.07817 2.94549 2.85461 24.78568
0.42091 29.57548 2.77374 2.66867 24.64466
0.42007 30.03471 3.05352 2.1701 24.41717
0.44138 29.65946 3.42543 2.588 24.00427
0.44029 29.4596 3.22295 2.67421 24.28703
0.40551 29.45322 3.44212 2.41323 24.37067
0.42465 29.00427 3.6715 2.39945 24.58083
0.41893 30.30418 3.76646 2.36328 23.28691
0.39765 28.61417 3.93186 2.765 24.39274
0.44432 29.46166 3.11722 2.67796 24.38203
0.45163 29.84179 2.82569 2.49273 24.47134
0.44117 29.92989 3.0432 2.20383 24.45884
0.55524 29.05061 3.51904 2.30866 24.64607
0.54093 29.73676 3.23512 2.61562 23.96692
0.56149 29.28389 3.31088 2.45778 24.45632
0.49939 29.23186 3.3844 2.71562 24.24368
0.50552 28.46723 3.92233 2.62366 24.56843
0.44278 28.32745 3.41819 3.01597 24.88562
0.4399 27.79481 3.71725 2.51346 25.60601
0.43613 28.55841 3.84577 2.48391 24.75616
0.45147 27.73837 3.88048 1.90357 26.09025
0.45615 27.99182 3.85513 2.06608 25.70215
0.51017 29.63055 3.35247 2.1706 24.45243
0.42361 29.82853 3.16338 2.47343 24.20253
0.49669 30.03592 3.15014 2.71957 23.71093
0.41669 29.53889 3.2291 2.47454 24.42778
0.46554 29.13451 3.20588 2.29795 24.97683
0.3811 29.83845 3.00961 2.45972 24.40417
0.4565 29.09288 3.56805 1.94112 25.04675
0.41003 29.89714 3.36 2.60475 23.88658
0.40122 28.04014 3.1579 2.3943 26.05096
0.47978 30.04808 3.64361 2.23397 23.7222
0.49872 29.3393 3.80902 2.25337 24.19981
0.4069 29.25667 3.00322 2.21959 25.16137
0.42511 29.36676 3.41495 2.36223 24.52043
0.46933 28.81838 3.2641 2.26939 25.23443
0.50279 28.33847 3.21117 2.2726 25.72422
0.43812 29.71289 3.30217 2.29475 24.34356
0.47835 29.10051 2.80805 2.41507 25.25067
0.35127 29.45537 3.00244 2.21121 25.04186
0.39747 29.29148 2.86295 2.36513 25.13794
0.38415 29.80307 3.06658 2.21802 24.58584
0.40076 30.11421 2.88355 2.56772 24.12059
0.45963 28.42999 3.4822 2.57107 25.13332
0.44589 28.42127 3.55157 2.41633 25.23441
0.54086 29.5789 3.33196 2.60586 24.04694
0.59634 29.52632 2.90592 2.52213 24.51761
0.50563 28.36123 3.18341 2.54168 25.45573
0.41892 29.18205 3.25338 2.41402 24.80837
0.4057 29.80682 3.30475 2.2005 24.36888
0.39396 29.31642 3.87927 2.3297 24.16635
0.41528 28.78469 3.81497 2.17345 24.8919
0.40503 29.89779 3.63653 2.29446 23.8868
0.39963 29.14891 3.4245 2.07796 25.03567
0.46933 29.00534 3.0003 2.31868 25.26829
0.39 29.00108 3.23687 2.3494 25.08151
0.37615 28.95439 3.22464 2.63897 24.87589
0.41066 29.08284 3.83529 2.66851 24.10748
0.39094 29.37097 3.50595 2.26816 24.59002
0.34809 29.89412 3.68396 2.2031 23.99906
0.39572 28.39861 3.45836 2.46928 25.33964
0.39778 28.98812 3.31136 2.83439 24.57283
0.38958 29.15722 3.39663 2.71544 24.45009
0.40151 29.01836 4.08639 2.44848 24.21272
0.37586 28.90291 3.95645 2.31229 24.6148
0.35113 27.79763 4.10043 2.64705 25.22551
0.43333 29.00663 3.3869 2.73669 24.54177
0.40699 29.50603 3.10015 2.66895 24.42687
0.38988 29.403 3.10395 2.15304 25.0621
0.41579 28.96631 3.13514 2.55746 24.9994
0.3469 30.43273 3.47379 2.58242 23.29941
0.40986 29.30389 4.08681 2.15831 24.15817
0.47888 29.11109 3.8696 2.48129 24.16745
0.45334 29.95477 3.78227 2.42695 23.51006
0.34504 29.20702 3.60699 2.21252 24.72873
0.42383 29.44749 3.38209 2.72434 24.11487
0.41366 28.83389 3.36481 2.41993 25.04147
0.35078 28.93683 4.04269 2.27754 24.54411
