"V1" "V2" "V3" "V4" "V5"
1.0062 19.41078 7.59343 2.02406 29.98818
1.01683 19.26982 7.37595 2.21946 30.14547
0.87784 20.10898 7.76973 2.04357 29.23044
1.09025 20.19621 8.53378 1.82378 28.38887
0.92211 19.3974 7.96599 2.1322 29.60428
0.72852 19.54578 7.25085 2.52029 29.97461
0.86386 19.58763 8.42111 2.62418 28.54327
1.03962 20.51797 9.20914 2.79055 26.53037
1.02463 20.46365 7.73022 2.59311 28.21264
0.86264 20.68493 7.39122 2.33799 28.74926
0.76708 21.86466 6.7987 2.67754 27.92642
0.83434 20.77804 7.74048 2.21984 28.45772
0.82582 19.82247 8.51344 2.12304 28.76862
0.98071 20.15037 7.18185 2.31402 29.39667
0.84796 19.65277 7.85286 2.07947 29.58985
1.06029 19.90605 7.15324 2.45441 29.4415
1.03525 20.99105 8.38485 2.72785 26.92688
1.15503 20.9814 6.96276 2.72479 28.21157
1.19595 20.59958 6.84778 2.49389 28.9011
1.16729 20.20839 8.18863 2.29871 28.20866
1.1282 21.1066 7.59529 2.43097 27.81202
1.1046 19.51267 8.43992 2.43996 28.56081
1.14133 19.943 7.93997 2.50131 28.50691
1.24883 20.39099 7.45985 2.61976 28.32354
1.2546 20.35921 7.91989 2.54373 27.95191
1.20917 20.42397 7.20518 2.76933 28.41625
1.17014 20.46007 6.94267 2.63669 28.82074
1.03839 19.72958 7.19641 2.73758 29.32204
1.04808 19.67512 7.60426 2.73544 28.97108
0.97758 20.34279 7.27854 2.66909 28.77284
0.89802 20.8518 8.11686 2.74411 27.46018
1.08825 20.85311 7.60315 2.76448 27.72376
0.98205 20.17138 7.50769 2.39676 28.96606
1.15483 21.10028 6.63686 2.65599 28.49412
1.06466 19.2988 7.29156 2.4685 29.89831
0.95291 19.89259 8.12222 2.26207 28.79282
1.05862 19.8666 7.03687 2.44736 29.60632
0.97287 21.01078 7.05155 2.81314 28.17819
0.96846 21.37601 7.07633 2.77726 27.8398
0.96325 20.93065 8.08891 2.56935 27.48655
1.06965 20.45884 8.04224 2.44489 28.02059
1.03388 20.10303 7.79499 2.31496 28.7905
0.94349 21.10812 7.25898 2.30844 28.4135
1.04898 20.88691 6.56936 2.29844 29.20868
1.14969 20.67122 6.82589 2.05111 29.31775
1.45609 20.10809 6.86818 1.87777 29.70267
1.39203 19.7405 6.955 2.15449 29.77352
1.24449 21.1101 8.22496 2.28267 27.1828
1.15078 19.50011 8.32473 2.20054 28.84732
1.34146 20.51551 8.19713 2.07289 27.90331
1.27652 19.66345 7.30291 2.17445 29.59167
1.1323 20.39775 7.48837 2.51498 28.4843
1.06417 20.08713 8.71751 2.50626 27.67711
1.11347 20.66402 7.93677 2.84533 27.50664
1.263 20.29684 7.52159 2.20909 28.73769
1.04795 21.08527 8.23526 2.47848 27.24344
0.94878 21.40911 7.44526 2.74706 27.53135
0.8838 21.44164 6.88213 2.61539 28.2332
0.7462 21.24774 7.46754 2.61717 28.03995
0.95479 20.81551 7.38084 2.6697 28.23517
0.95077 20.14118 7.96188 2.23047 28.75818
0.93479 19.89209 7.52005 2.20854 29.46795
1.17442 20.26945 7.59293 2.43491 28.55393
0.99635 20.50484 7.53101 2.83981 28.16589
1.12342 21.18901 8.14911 2.77382 26.83191
0.98899 20.84181 7.59877 2.53201 28.10072
1.06521 20.15355 7.6286 2.54644 28.65729
1.05551 20.10006 7.4502 2.38507 29.05388
1.12254 21.83006 6.72016 2.51184 27.8552
1.13987 21.42039 7.71294 2.49334 27.32504
1.13698 20.24496 7.62093 2.21695 28.83338
0.98395 20.4951 8.19186 2.66023 27.72188
0.86622 21.40735 8.74283 2.42643 26.66477
0.93253 19.82935 8.5328 2.6902 28.06246
0.88743 20.40485 7.54041 2.59077 28.61359
1.10751 20.28855 8.87641 2.30977 27.504
1.13546 19.10113 9.02397 2.28567 28.52101
1.20549 20.92564 7.43383 2.55572 27.91338
1.00892 20.19105 7.96697 2.73114 28.14945
1.02267 21.42695 7.02625 2.82465 27.74743
0.9773 20.34791 7.07082 2.85879 28.76774
0.89922 21.67635 6.2363 2.68678 28.524
0.87068 21.29423 6.86653 2.33958 28.65751
1.03846 21.29453 7.34689 2.59521 27.77057
0.98046 21.4555 6.70668 2.76535 28.12385
0.95113 20.41431 7.80825 2.49732 28.35794
0.92422 20.2155 7.85726 2.70261 28.32978
0.99655 21.05529 8.10305 2.46431 27.42556
1.01331 20.02818 8.72516 2.80964 27.49138
0.9634 20.05084 8.27962 2.54483 28.19702
1.10062 21.10187 6.98347 2.39278 28.44676
0.99081 21.16764 6.91107 2.20325 28.74901
1.31766 20.71527 7.16218 2.30715 28.52899
1.27433 21.0332 7.32836 2.52978 27.87068
1.29783 20.92986 7.04487 2.19503 28.5508
1.34745 20.57077 7.14816 2.51195 28.4452
1.21941 19.03985 8.28124 2.27849 29.21262
0.93505 19.74136 7.21059 3.16768 28.98054
1.10236 19.11373 8.63286 2.55216 28.65892
0.97879 19.37896 8.84064 2.6408 28.21087
1.01878 18.81108 8.72909 2.0597 29.43053
1.02725 19.36166 8.87895 2.19218 28.59851
1.06655 19.30304 8.20198 2.21217 29.25599
0.94981 20.65525 6.98776 2.63146 28.79651
1.09481 20.33362 7.44091 2.67763 28.48408
0.90597 20.40656 7.33136 2.58799 28.79141
1.01965 20.35395 6.96987 2.45407 29.2306
0.87743 20.6899 7.02937 2.63659 28.79276
0.93823 20.61568 7.79716 2.07179 28.63042
1.0056 20.90771 7.38337 2.5338 28.2222
