"V1" "V2" "V3" "V4" "V5"
0.99712 25.84701 5.21264 2.60766 25.43268
0.78348 25.77078 5.19976 2.93963 25.38635
0.65293 27.62774 4.03953 2.87327 24.87051
0.77344 26.47023 4.10813 2.75425 25.93733
0.79533 25.73453 4.30055 3.22688 25.99429
0.56163 27.65094 4.4748 3.74345 23.69847
0.81845 26.24311 4.30847 3.49373 25.2013
0.80577 27.24655 4.28688 4.17824 23.6033
0.75671 27.21011 4.08215 3.93752 24.10114
0.60814 27.99365 3.79379 3.74192 23.95525
0.6642 27.46874 4.2312 2.89844 24.82823
0.55006 27.14804 4.42335 3.17204 24.77928
0.61372 27.43396 5.71925 2.66611 23.70612
0.56961 27.36052 6.30608 3.08581 22.85215
0.52574 26.11011 6.79734 3.02237 23.70382
0.66858 26.14219 5.38818 3.01156 24.8598
0.55545 26.40738 5.32052 3.96426 23.86144
0.68228 27.58841 3.96673 3.25593 24.58141
0.83513 26.67843 4.19553 3.38862 24.97663
0.63288 25.71862 5.20888 2.74616 25.76155
0.52571 28.03917 4.11297 2.59265 24.81839
0.67233 27.3891 4.48252 2.96771 24.58808
0.75042 27.36267 5.31637 3.21908 23.48337
0.7859 27.88737 5.59654 3.35781 22.55923
0.68711 24.64956 4.68461 3.44553 26.56919
0.65352 26.24463 4.3147 4.17924 24.67117
0.70038 27.03854 4.20545 3.68395 24.45869
0.52493 26.60244 5.04466 3.60857 24.33747
0.63008 27.42188 5.22223 3.17486 23.69271
0.5425 25.49035 5.38286 3.07316 25.67369
0.59337 26.46776 5.59732 2.85302 24.66112
0.57755 26.87594 4.54622 4.11809 23.96273
0.62354 27.28251 3.57342 3.95731 24.62924
0.59328 26.32234 3.74111 3.46286 25.95475
0.52989 26.36342 3.99895 3.51161 25.66836
0.40022 26.92765 4.20711 2.76921 25.74129
0.62086 25.76311 4.12018 3.45232 26.08763
0.64426 27.01091 3.98201 3.89746 24.53084
0.48165 26.94022 5.8608 4.00215 22.86728
0.56465 27.49093 4.89818 3.85666 23.29218
0.60623 25.01138 5.19185 3.27981 25.96538
0.51518 26.32138 5.05717 3.63131 24.57382
0.48222 25.61133 4.93671 3.72602 25.32094
0.54308 26.69979 3.73517 3.46445 25.60138
0.65535 25.77143 4.05959 2.97667 26.58075
0.75205 25.99809 4.50566 3.24908 25.55217
0.7499 25.76631 4.84914 3.07696 25.62037
0.59817 26.38288 4.47832 3.38745 25.21007
0.66584 24.4142 4.03314 2.71835 28.19272
0.66337 24.95124 4.72336 2.74513 26.95641
0.7366 25.63796 4.63941 3.49711 25.53375
0.65566 25.44778 4.2159 4.17945 25.54699
0.60921 25.89342 4.27895 4.49769 24.78653
0.62033 26.08581 4.2261 4.4629 24.70105
0.64983 25.42731 4.54916 4.19177 25.25567
0.64925 27.82993 3.50648 3.41765 24.68852
0.48061 26.72384 3.57146 3.79364 25.4988
0.54473 26.37677 3.38057 4.29788 25.46694
0.48103 27.22283 3.91564 4.77712 23.74889
0.53117 26.94924 4.39186 5.19113 23.11184
0.54197 24.59567 5.39772 4.74532 24.84913
0.45615 25.74032 4.61643 4.32231 24.95075
0.5939 26.26629 3.98308 3.36809 25.84233
0.58474 26.82113 3.48235 3.88044 25.30154
0.48005 26.04 3.35935 3.77838 26.39395
0.61257 25.60253 4.03963 3.71162 26.09724
0.51932 25.68884 4.58964 3.615 25.6654
0.54287 26.0065 4.55747 3.43067 25.53705
0.74235 26.71271 5.15442 3.57939 23.9387
0.70835 27.46816 5.68737 3.74581 22.5945
0.77213 26.20622 6.04789 3.34421 23.77104
0.52131 25.45709 5.59004 3.72214 24.80952
0.49409 25.49708 5.19141 3.73701 25.19264
0.62605 23.72819 5.66478 3.90459 26.15232
0.61452 25.96011 4.12748 3.66272 25.69796
0.7363 26.87919 4.53774 3.62706 24.31853
0.79523 25.21835 4.51856 3.91178 25.63058
0.77786 26.01778 3.98715 3.87008 25.39533
0.52959 26.24691 4.01216 3.95669 25.32438
0.56979 26.42356 3.41256 3.71554 25.94138
0.75346 26.41957 3.93554 4.05799 24.90977
0.80244 27.59268 3.17704 3.74329 24.76725
0.66847 25.98957 3.7286 3.19797 26.462
0.84837 27.46004 3.65005 3.47412 24.66084
0.74357 27.07438 3.52868 4.02845 24.70716
0.76731 26.39056 3.35831 3.55702 25.98859
0.51116 25.47735 3.51606 4.59458 25.95204
0.69308 26.82394 3.19083 3.86607 25.49528
0.74064 26.06932 3.55352 4.56909 25.16815
0.73066 26.70608 3.41349 4.24468 24.99747
0.72804 25.7554 3.81297 4.10841 25.68087
0.57292 26.12557 4.09271 3.21576 26.0503
0.77295 25.84556 5.20134 2.98984 25.26827
0.61757 27.02432 4.69038 3.0361 24.73016
0.64783 24.88215 4.25123 3.08672 27.17451
0.68024 24.99258 3.52055 3.51727 27.33663
0.65281 26.98356 4.44289 3.50337 24.52179
0.70446 26.00669 4.02787 4.08008 25.26708
0.76688 25.03322 5.78533 3.33243 25.17816
