"V1" "V2" "V3" "V4" "V5"
11.06776 17.46747 4.41034 1.10517 26.10167
10.75635 17.61025 4.39073 0.98459 26.38669
10.85686 17.52646 4.30774 0.91931 26.48471
10.65263 17.94318 4.13807 1.03745 26.33203
10.66282 18.12922 4.25794 1.19207 25.92248
10.84424 17.58882 4.45281 1.05923 26.19704
10.64282 17.6088 4.52253 1.12443 26.2739
10.56351 17.91338 4.29519 1.19227 26.22147
10.71932 17.82656 4.39206 1.08521 26.1168
10.54371 17.748 4.4277 1.11534 26.29292
10.64058 17.71269 4.36931 1.09419 26.30583
10.86511 17.2948 4.45139 1.11165 26.39492
10.4157 17.93664 4.44593 1.07385 26.23413
11.24806 17.27976 4.63381 1.31841 25.66852
11.10318 17.80369 4.2459 1.23859 25.78477
10.89058 17.71477 4.28675 1.3187 26.0202
10.86218 17.39098 4.41679 1.19629 26.29966
11.00283 17.24388 4.47469 1.23045 26.18351
10.62618 17.72543 4.38908 1.16685 26.22686
10.48103 17.57879 4.50191 1.24118 26.37254
10.50371 18.01742 4.33668 1.25279 26.09279
10.62269 17.8136 4.42726 1.10673 26.15868
10.72847 17.55737 4.39481 1.22134 26.24832
10.91352 17.69203 4.29222 1.25002 26.03139
10.89554 17.47278 4.23986 1.15164 26.41929
10.49092 17.93468 4.31785 1.00042 26.37599
10.6681 17.34734 4.65298 0.96928 26.46567
10.8765 17.44694 4.42112 1.02455 26.39186
10.71024 17.4279 4.45553 0.9697 26.53661
10.61569 17.98658 4.43979 1.06062 26.02786
10.71596 17.56716 4.47573 0.94908 26.38481
10.89623 17.57397 4.42601 1.04616 26.18616
10.62501 17.55591 4.51584 1.10437 26.33419
11.15346 17.46593 4.42774 1.09392 26.00205
10.7342 17.8992 4.5749 0.96438 25.92205
10.21559 18.6597 4.47077 1.00337 25.77048
10.57194 18.0407 4.48568 1.14895 25.90593
11.16523 17.55421 4.53524 1.09255 25.78645
11.09187 17.50936 4.64074 1.13678 25.78722
10.81313 17.97482 4.43491 1.15613 25.79232
10.73271 18.2338 4.42008 1.06483 25.68728
10.87462 18.19777 4.45414 1.03397 25.57973
10.48424 18.00221 4.49523 1.01449 26.1141
10.97414 17.98077 4.3707 1.12191 25.69778
11.19256 17.69645 4.42494 1.07413 25.73833
10.83632 18.09154 4.11695 1.03543 26.04643
10.37706 17.98558 4.13172 1.05847 26.55768
10.6787 17.71538 4.38859 0.95178 26.37446
10.81835 17.89236 4.46276 1.00694 25.94603
10.68028 18.16278 4.63474 1.0583 25.59777
10.19331 18.46625 4.33441 0.90869 26.1659
10.55758 17.98172 4.3681 0.89803 26.26215
10.62415 17.50371 4.54198 1.0036 26.43275
10.96317 17.2493 4.4031 1.04755 26.43131
10.92728 17.45859 4.27894 1.07993 26.36647
10.90881 17.3832 4.37711 1.05781 26.38889
10.59305 17.50002 4.42093 1.10821 26.51453
10.46893 17.71436 4.36605 1.06988 26.49322
10.54218 17.8165 4.51977 0.99932 26.23108
10.68076 17.65226 4.50567 0.99461 26.25378
10.60938 17.79107 4.34058 0.97994 26.37356
10.66047 17.6152 4.46213 0.96128 26.42278
10.95173 17.53501 4.45734 1.11049 26.10581
10.4172 18.07617 4.33429 1.13723 26.21061
10.84692 17.70708 4.39672 1.07409 26.12412
10.83319 17.51661 4.28638 1.04997 26.4476
11.0235 17.7771 4.28668 1.09395 25.96685
11.04963 17.37196 4.61742 1.31696 25.85406
11.31377 17.22553 4.54302 1.0777 25.97718
11.36537 16.98796 4.55362 0.98088 26.20327
11.00635 17.16193 4.55649 1.16247 26.24568
10.73135 17.19396 4.52054 1.20964 26.49865
11.09389 17.14383 4.59896 1.09415 26.18344
11.14847 17.44846 4.3733 1.13832 26.00214
10.4889 17.63903 4.45256 0.9812 26.52813
11.02589 17.4837 4.5929 1.0705 25.95209
10.92362 17.76143 4.5358 1.0153 25.86888
10.86885 17.88063 4.47356 0.98688 25.87894
10.87657 17.90899 4.33701 1.00114 25.95442
11.03052 17.42744 4.4098 1.0235 26.19545
10.68262 17.71649 4.47352 1.01612 26.17607
10.70163 18.11075 4.34903 0.96305 25.93641
10.50546 18.13041 4.22171 1.14228 26.08715
10.35744 18.08016 4.28209 1.2433 26.15224
10.53167 18.13399 4.28831 1.06771 26.05881
10.71499 18.10824 4.29786 1.13427 25.83988
10.61049 17.98238 4.37731 1.16529 25.97172
10.45296 18.00575 4.34522 0.99461 26.28328
10.7622 17.93299 4.36278 1.03541 25.98983
10.78731 17.55929 4.50552 1.03994 26.17833
10.72564 17.37007 4.54328 0.87932 26.52848
11.08126 17.66513 4.38741 0.90541 26.02638
10.97645 17.66635 4.51831 0.90638 26.02165
11.05008 17.15861 4.47512 0.83923 26.53383
10.72103 17.51255 4.61332 1.05466 26.19947
10.64608 17.72351 4.51339 1.13662 26.10163
10.59495 17.74944 4.40851 1.16693 26.18328
10.52117 17.87278 4.46716 1.20539 26.06699
10.46657 18.08164 4.40998 1.22255 25.95966
10.61398 17.83187 4.65133 1.18056 25.84303
10.54219 18.04376 4.4638 1.05057 26.00101
10.57678 18.02939 4.36483 1.23113 25.89806
10.64918 17.68197 4.4902 1.1512 26.11081
10.86639 17.4083 4.43311 1.25727 26.15716
10.7229 17.89893 4.49977 1.11184 25.87749
10.42517 17.76922 4.49634 1.16952 26.26801
10.96976 17.76588 4.41567 1.16948 25.85751
10.47433 18.25677 4.18237 1.17983 26.08276
10.56321 18.0818 4.37059 1.41257 25.79286
10.5048 17.84612 4.31489 1.71316 25.95167
10.2284 18.15128 4.24688 1.56279 26.08263
10.30175 17.82286 4.29526 1.33125 26.42383
10.23714 17.76027 4.5371 1.13483 26.45575
10.69105 17.40457 4.65968 1.15621 26.22421
10.75863 17.97812 4.51036 1.17602 25.74598
10.62698 17.95112 4.40677 1.14585 26.03969
10.67017 17.83576 4.28998 1.22189 26.17281
10.62727 17.834 4.49769 1.10178 26.08776
11.01863 17.40652 4.4704 1.14527 26.10437
10.58153 17.77768 4.3442 1.18835 26.23259
10.72415 18.15128 4.33478 1.1643 25.75695
10.7293 17.80178 4.30582 1.26817 26.05572
10.93906 17.68764 4.37063 1.31878 25.85958
10.81811 17.98645 4.3975 1.2918 25.68162
10.8737 17.27489 4.48656 1.12364 26.3784
10.99157 17.24312 4.56874 1.06541 26.2159
10.5936 17.62133 4.35495 1.10387 26.41351
10.83001 17.59104 4.42304 1.09946 26.1565
10.97293 17.66337 4.46664 1.13546 25.87192
10.39446 18.05481 4.52072 1.1763 25.95347
10.52552 18.0269 4.38225 1.07861 26.09039
10.39865 18.25871 4.2993 1.09209 26.04659
11.02352 17.7011 4.29041 0.97731 26.1005
10.96734 17.46332 4.68609 1.01659 25.95958
10.9715 17.69903 4.47337 1.11845 25.8594
10.67545 17.86787 4.37221 1.05814 26.14148
10.47261 17.82836 4.36639 1.05892 26.36683
10.42442 17.29515 4.47365 0.98184 26.9106
10.49439 17.84 4.31081 1.0042 26.45675
10.33105 18.11861 4.44314 1.03098 26.16819
10.4012 17.68131 4.50602 0.99749 26.4822
10.53268 17.67931 4.47459 1.12975 26.28427
10.74451 18.05117 4.37078 1.25103 25.73072
10.75364 17.54848 4.44205 1.38857 26.01719
10.78301 17.97576 4.48355 1.33369 25.57744
10.69585 17.97083 4.27559 1.06539 26.07825
10.78162 17.49142 4.38292 1.15202 26.28648
10.64607 17.5694 4.41549 1.17544 26.29463
10.76898 17.29644 4.6002 1.32743 26.16292
10.75544 17.19564 4.47819 1.20393 26.46734
10.27969 18.07837 4.34688 1.07641 26.30509
10.33877 17.71279 4.40094 1.06436 26.55634
10.71205 17.58784 4.46293 1.03972 26.28632
10.87302 17.6926 4.60754 1.1511 25.81241
10.61333 17.76143 4.44346 1.14812 26.14752
10.49299 17.73035 4.50182 1.1797 26.22515
10.79411 17.49458 4.26498 1.10977 26.45037
11.04639 17.66068 4.22898 1.05121 26.09703
10.724 17.3658 4.57329 1.09551 26.32863
10.52752 18.20471 4.26052 1.19135 25.9592
10.73401 17.88787 4.32756 1.3583 25.88411
10.34794 18.46484 4.31516 1.28265 25.74836
10.62954 17.85434 4.36383 1.4306 25.90429
10.58199 17.89628 4.34731 1.28716 26.04106
11.01777 17.37137 4.23835 1.19296 26.29192
10.95172 17.41542 4.16048 1.20912 26.38859
10.63101 17.54056 4.26211 1.27131 26.4212
10.62065 17.90122 4.32205 1.28123 26.01174
10.49968 17.50514 4.32425 1.07902 26.68179
10.6212 17.78453 4.30841 1.03203 26.32317
10.39864 17.70539 4.56505 1.11573 26.32408
10.54837 17.50867 4.53213 1.11267 26.41137
10.49995 17.84121 4.22632 1.06569 26.45185
10.84948 17.82138 4.35793 1.02815 26.03253
10.75096 18.07013 4.34525 1.01459 25.88258
11.0469 17.62231 4.29287 1.03748 26.07989
11.24881 17.54962 4.3816 1.07952 25.84026
11.23047 17.43741 4.52267 1.07105 25.83732
11.45362 17.26952 4.42221 1.05999 25.92433
11.15395 17.51054 4.38623 1.13156 25.97225
11.13572 17.42688 4.56158 1.2556 25.81423
10.90777 17.74922 4.30938 1.16196 26.0251
11.02762 17.97763 4.39391 1.21768 25.5659
11.22009 17.67689 4.23081 0.99822 25.96745
11.15162 17.75446 4.45939 1.30079 25.4935
10.99433 18.16829 4.4202 1.43893 25.15694
10.78574 18.02909 4.31692 1.41585 25.62127
10.63193 17.97086 4.31665 1.19571 26.00484
10.66847 18.0227 4.21758 0.99016 26.16873
10.85775 17.31261 4.49765 1.01374 26.4068
11.00836 17.69915 4.33299 1.1227 25.92969
10.7367 17.7237 4.57137 1.22587 25.86049
10.87432 17.96514 4.4765 1.23877 25.60004
10.73794 18.06048 4.50912 1.13892 25.69664
10.77007 17.87474 4.4259 1.34483 25.77567
11.09636 17.83694 4.45092 1.2888 25.52842
10.53916 17.73863 4.51801 1.16509 26.16781
10.55298 17.79414 4.5531 1.19079 26.06678
11.14315 17.67243 4.39102 1.15984 25.8069
10.7429 17.49318 4.271 1.16952 26.47109
10.91119 17.66492 4.20848 1.16788 26.20605
10.88593 17.66385 4.34132 1.19289 26.05234
11.17779 17.49168 4.3822 1.0835 25.99381
11.13948 17.62851 4.21116 1.00403 26.09672
11.16128 17.60503 4.30494 0.91925 26.07656
10.89541 17.99284 4.41408 1.02872 25.76624
10.58409 18.18236 4.25347 1.06247 26.00408
10.73207 17.69827 4.43974 1.16576 26.09228
10.59364 17.89151 4.43533 1.05416 26.1326
10.65358 18.07646 4.30355 1.0194 26.04098
10.60114 17.96113 4.39307 1.17598 26.00526
10.53899 17.93119 4.49216 1.21285 25.97009
10.77767 17.25989 4.55603 1.37948 26.22454
10.67856 18.12664 4.46585 1.34686 25.56239
10.99399 17.61205 4.42417 1.14989 25.94157
11.00175 17.50414 4.52558 1.07062 25.98858
11.31294 17.22138 4.70174 1.10891 25.76147
10.8951 17.29724 4.64813 0.96849 26.28208
10.61419 17.55226 4.56923 1.00763 26.363
10.79639 17.57358 4.62966 0.9294 26.15997
10.97399 17.77529 4.35942 1.04327 25.96998
10.79514 18.01764 4.42144 1.02145 25.87492
10.77676 17.74463 4.4801 1.01604 26.10154
10.33849 18.21736 4.25567 0.96533 26.32536
10.77957 17.64074 4.34145 1.09394 26.26934
10.50912 17.82057 4.51699 1.16078 26.11628
10.54251 17.93942 4.40443 1.12754 26.10613
10.8337 17.79063 4.26673 1.08874 26.128
10.59002 18.05353 4.36539 0.96402 26.10735
10.9283 17.77151 4.44224 0.99725 25.93214
10.92396 17.95742 4.36534 0.96817 25.86598
10.76591 17.93712 4.47059 1.02518 25.88713
10.59389 18.12504 4.475 0.89415 25.99637
10.90016 17.65397 4.33794 0.99437 26.20061
11.14296 17.56733 4.42754 1.09763 25.87757
11.04401 17.26062 4.69039 1.05321 26.05076
10.88716 17.8201 4.63204 1.16026 25.6312
10.54402 18.14281 4.37236 1.00041 26.01545
10.69211 17.81532 4.39127 1.03662 26.1549
10.91466 17.43858 4.52991 1.0711 26.12209
10.60056 17.85259 4.53057 1.03745 26.07021
10.50045 17.68515 4.52092 1.05136 26.32392
10.53135 17.49692 4.42628 0.98196 26.62491
10.76007 17.99718 4.15701 0.96256 26.20494
10.60264 17.89919 4.32506 1.08202 26.20898
10.87996 17.68774 4.71969 1.14666 25.71992
10.79308 17.78311 4.48036 1.14015 25.94965
11.05942 17.26499 4.55868 1.1161 26.14725
10.62649 17.72591 4.30579 1.08285 26.38115
11.25439 17.09302 4.58347 1.14908 26.06967
10.76699 17.45758 4.66167 1.09259 26.17774
10.63675 17.64487 4.41218 1.24072 26.25172
10.41405 17.74979 4.5983 1.10849 26.2677
10.80296 17.68247 4.38033 1.10007 26.17109
10.59424 18.01154 4.31184 1.16568 26.0784
10.87288 17.83295 4.36114 1.01459 26.03428
10.97032 17.86516 4.20566 0.98104 26.06786
11.09022 17.27187 4.51982 0.97331 26.24394
10.73444 17.51473 4.46916 0.97303 26.4162
10.72721 17.70187 4.50756 1.08709 26.11884
10.71618 17.81269 4.34182 1.17822 26.13707
10.88584 17.8459 4.47445 1.13438 25.7909
10.56585 17.80719 4.55879 1.11279 26.07389
10.74478 17.74115 4.54223 1.06208 26.03879
10.97792 17.58483 4.77177 1.12906 25.66313
10.72715 17.59152 4.51069 1.17356 26.15229
11.13985 17.51739 4.25881 1.35975 25.90784
10.87025 17.44808 4.39057 1.35335 26.12088
10.8278 17.62055 4.27473 1.31092 26.11095
10.83814 17.27861 4.38839 1.42822 26.24794
10.95735 17.42732 4.42491 1.49758 25.9174
11.13629 17.42623 4.57669 1.49391 25.63749
11.17462 17.2099 4.57965 1.55771 25.73164
11.00499 17.72325 4.40769 1.44979 25.62399
10.90996 17.89923 4.55124 1.28248 25.49696
10.93757 17.4671 4.53756 1.30508 25.85796
11.10662 17.15709 4.64481 1.2539 25.95982
10.91661 17.85204 4.50082 1.45184 25.48147
11.46705 17.2335 4.54826 1.21718 25.68713
11.03047 17.19758 4.5846 1.1987 26.08776
11.24431 17.34621 4.41099 1.33057 25.81134
11.04449 17.77607 4.44002 1.29408 25.6075
10.8625 17.65194 4.60122 1.17905 25.82212
11.07046 17.4612 4.44612 1.35137 25.82813
10.77506 17.55465 4.50186 1.36114 25.94309
10.75342 17.61022 4.35143 1.21183 26.17171
10.47801 17.67761 4.22304 1.48202 26.29084
10.2626 17.376 4.44001 1.59334 26.51911
10.57727 17.43348 4.2906 1.5309 26.38011
10.99396 17.27645 4.36767 1.5476 26.03878
10.9008 17.2769 4.3371 1.39217 26.26484
10.75818 17.38863 4.41826 1.38762 26.25749
10.47962 17.94605 4.42803 1.20645 26.11557
10.77994 17.92046 4.32285 1.18455 25.9532
10.91079 17.7406 4.28316 1.26605 25.96614
10.56795 17.88991 4.27697 1.27361 26.14569
10.66626 17.57007 4.49211 1.27719 26.15637
10.47638 17.89042 4.43702 1.3626 26.00991
10.69956 17.56989 4.36838 1.39357 26.15377
10.65959 17.4795 4.5747 1.22455 26.1726
10.58446 17.45583 4.70344 1.37391 26.01775
10.87231 17.60016 4.67525 1.32704 25.64396
10.69893 17.66795 4.4387 1.33523 25.95975
10.47184 17.4787 4.54663 1.19717 26.39395
10.65392 17.42935 4.51559 1.32319 26.18393
10.53394 17.14498 4.62383 1.1709 26.59786
10.66374 17.21761 4.59967 1.29449 26.31844
10.62983 17.68235 4.34703 1.26659 26.17505
10.8805 17.39005 4.37152 1.41126 26.12147
10.96046 17.33602 4.4516 1.13288 26.23659
10.95755 17.48894 4.29487 1.16867 26.2075
10.79039 17.25712 4.35267 1.22705 26.49495
10.89915 17.5654 4.24183 1.34784 26.0936
10.61087 17.68146 4.31889 1.27316 26.24349
10.61247 17.59228 4.30581 1.15638 26.42904
10.77297 17.38019 4.34601 1.19631 26.4209
10.99288 17.44122 4.31335 1.18393 26.18794
10.65821 17.38466 4.26136 1.23432 26.59734
10.3665 17.62292 4.45655 1.10559 26.54362
10.42986 17.48337 4.38185 1.04742 26.73251
10.40901 17.7133 4.35762 1.21135 26.4269
10.48906 17.87565 4.26194 1.16524 26.29489
10.51686 17.72476 4.34269 1.06101 26.44402
10.92669 17.41144 4.55815 1.07571 26.11784
10.71373 17.70178 4.45718 1.0297 26.17545
10.65922 17.66901 4.48544 1.18232 26.11255
10.64224 17.61692 4.4822 1.00367 26.32139
10.62881 17.52274 4.61644 0.98648 26.30086
11.11023 17.30469 4.78037 1.03616 25.84797
10.38376 17.90999 4.52957 1.0204 26.23225
10.55787 17.73341 4.39592 1.10036 26.29841
10.72694 17.82376 4.29815 0.99735 26.22299
10.89177 17.62166 4.48098 1.14132 25.96738
11.21784 17.80349 4.50078 1.11424 25.47614
10.86871 17.86842 4.52006 0.94413 25.87832
10.89557 17.71094 4.38147 0.96451 26.13465
10.66756 17.63938 4.46498 1.01387 26.31583
10.67241 17.61924 4.58011 1.13575 26.12838
10.83929 17.61108 4.61107 1.17329 25.85853
10.9924 17.39301 4.49018 1.04292 26.15256
10.83222 17.85305 4.30972 1.1035 26.00094
11.04817 17.58613 4.19136 0.96998 26.28261
10.54505 17.78634 4.17895 0.92476 26.62597
10.33356 18.05398 4.23046 0.84646 26.58973
10.79664 17.79124 4.51636 0.95994 25.99833
10.61948 17.7136 4.61099 0.95602 26.16283
10.48386 17.96337 4.44202 1.02575 26.15116
10.88657 17.54811 4.35982 1.00986 26.2608
10.80677 18.13377 4.45971 0.91924 25.76684
10.55584 17.92559 4.5469 0.93037 26.11734
10.72748 17.72601 4.72346 1.0264 25.91359
10.89773 17.38383 4.48794 1.15252 26.21905
10.95955 17.46127 4.31295 1.03171 26.32409
10.74837 17.57196 4.38472 0.99696 26.37246
10.38787 17.94276 4.38928 1.0435 26.31682
10.66805 17.64904 4.37106 1.01825 26.36677
10.6915 17.56826 4.5415 1.02633 26.23258
10.68565 17.69847 4.29095 0.93382 26.43094
10.71318 17.51937 4.40455 0.94175 26.48378
10.78066 17.40131 4.49936 1.00048 26.38691
11.16058 17.54739 4.36772 1.24929 25.79396
10.81657 17.72148 4.32051 1.12002 26.09231
10.82774 17.95685 4.35296 1.31652 25.66833
10.55103 17.77959 4.57084 1.20177 26.00282
10.5715 17.68142 4.59667 1.25313 26.0085
10.61459 17.88378 4.40418 1.04841 26.13627
10.69011 17.5623 4.34696 1.04517 26.44345
10.80049 17.49509 4.56249 1.05727 26.17731
10.84777 17.39611 4.49231 1.09342 26.24642
10.78134 17.4978 4.35994 0.99404 26.43034
10.62871 17.69878 4.30915 1.00407 26.4083
10.78699 17.62817 4.22071 1.07146 26.34328
10.84188 17.68358 4.45306 0.90214 26.18073
10.80651 17.19446 4.7316 0.82797 26.49063
10.6686 17.16693 4.6261 0.8903 26.69374
10.2654 17.84884 4.47505 0.92167 26.52782
10.13264 18.09908 4.48624 0.85412 26.46594
10.59054 17.68865 4.5045 0.98264 26.30224
10.69893 17.13748 4.5606 0.98269 26.69129
10.81054 17.66553 4.46603 1.04577 26.12489
10.64535 17.76834 4.49523 1.04228 26.15008
10.6908 17.79454 4.51334 1.08132 26.02313
10.97349 17.14095 4.42029 0.92606 26.61022
10.36143 17.69407 4.29454 0.90032 26.79582
10.8204 17.37374 4.39581 0.94017 26.52005
10.81176 17.89902 4.34764 1.04328 25.9781
10.67588 17.7984 4.53884 0.93712 26.1061
10.72272 18.00751 4.65748 0.97725 25.7057
10.97161 17.64169 4.33203 0.8372 26.25776
11.00267 17.61301 4.349 0.85179 26.22051
10.6346 17.59764 4.51834 0.77781 26.49861
10.50458 17.76129 4.43157 0.79851 26.53108
10.58072 17.78949 4.41143 0.9254 26.33464
11.05315 17.54986 4.31474 0.90383 26.23521
10.64798 17.62627 4.52211 1.0324 26.21805
10.20774 17.72963 4.40567 0.98105 26.71688
10.41947 17.8598 4.28887 0.91742 26.57069
10.6699 17.63975 4.26034 0.92293 26.56998
10.70043 17.45798 4.43448 0.87837 26.57697
10.69548 17.99735 4.39394 0.92745 26.03989
10.88321 17.72714 4.41393 0.94333 26.08443
10.67029 17.67634 4.2381 0.88726 26.57095
10.84192 17.72041 4.67349 1.00457 25.83311
10.73089 18.04236 4.47041 0.97738 25.82165
10.53276 17.86488 4.44486 0.95122 26.23967
10.60107 18.226 4.3089 0.94852 25.96613
10.86605 17.43538 4.31293 0.86014 26.56145
10.81565 17.9129 4.46829 0.97352 25.88172
10.90205 17.77163 4.43122 0.93147 26.00724
10.87989 17.65307 4.44013 0.85053 26.20688
10.98326 17.44714 4.44861 0.94634 26.2129
10.65377 17.51226 4.4242 0.81773 26.6166
10.99251 17.31721 4.43269 0.90399 26.39124
11.26388 17.50023 4.47048 0.82045 25.98316
10.64458 17.52923 4.36134 0.83203 26.65872
10.80093 17.38924 4.49366 0.88295 26.46816
10.16274 17.92452 4.27002 0.86198 26.80704
10.51033 18.52911 4.31509 0.89137 25.79124
10.60943 17.8762 4.53179 0.89206 26.11886
11.31887 17.18358 4.54231 0.88885 26.11733
10.47569 18.22807 4.31729 0.94477 26.07711
10.48906 18.32319 4.11764 0.8309 26.28161
10.57985 18.12002 4.3431 0.86928 26.12876
10.68967 17.96472 4.44841 0.92488 26.00929
10.97338 17.78865 4.40675 1.08057 25.81418
