"V1" "V2" "V3" "V4" "V5"
4.3275 24.64824 1.01174 0.49357 29.57901
4.36044 24.49616 1.01361 0.43791 29.74652
4.35067 24.76034 1.02183 0.45766 29.45868
4.14335 24.58937 0.96306 0.49182 29.8572
4.03918 24.57339 0.98308 0.48675 29.97704
4.32684 24.68502 1.02707 0.46786 29.55008
4.25524 24.58993 1.05617 0.53697 29.63521
4.01827 24.21894 1.04792 0.50594 30.27617
3.98178 24.54343 1.03785 0.46372 30.02768
4.14261 24.62695 1.07554 0.48976 29.72443
4.0818 24.40702 1.09795 0.46837 30.0055
4.45843 23.97836 1.15166 0.46142 30.00245
4.16985 24.30446 1.11789 0.40781 30.04048
4.42551 24.73546 1.07931 0.46794 29.34207
4.43523 24.45899 1.06521 0.47654 29.62646
4.47043 24.50824 1.06414 0.56985 29.49069
4.13753 24.50547 1.10902 0.50551 29.81375
4.2709 24.6917 1.10303 0.53358 29.46008
4.10764 24.66011 1.09472 0.53379 29.66348
3.90605 24.54372 1.01947 0.52082 30.07726
4.10969 24.74723 1.09033 0.50641 29.62475
4.10343 24.60346 1.12774 0.43296 29.78068
4.03925 24.83864 1.17124 0.51046 29.50712
4.28591 24.94924 1.14582 0.52995 29.16368
4.19332 24.45932 1.17429 0.4861 29.75867
4.10833 24.24673 1.07046 0.40376 30.21401
4.30972 24.2937 1.12526 0.41026 29.89832
4.34675 24.61202 1.1465 0.44559 29.5227
4.26353 24.49843 1.05283 0.4848 29.75698
4.20842 24.30481 1.08763 0.45033 30.0072
4.13684 24.71637 1.03633 0.45006 29.71116
4.06604 24.43143 1.00596 0.45769 30.09389
4.07505 24.73899 1.0909 0.47149 29.68164
4.35433 24.98165 1.09953 0.44015 29.18263
4.18153 24.67925 1.08625 0.39639 29.69087
4.15737 24.66934 1.10162 0.39304 29.71681
4.26826 24.43112 1.12387 0.44907 29.77795
4.14658 24.69012 1.14733 0.51322 29.56551
4.24756 24.62545 1.10478 0.48749 29.59905
4.28296 24.68118 1.08886 0.52025 29.48805
4.09533 24.85034 1.04891 0.4905 29.56459
4.2603 24.74665 1.0991 0.45902 29.48421
4.01809 24.79985 1.04478 0.49948 29.67965
4.09815 24.93847 1.05078 0.53736 29.42254
4.33883 25.10511 0.99938 0.51925 29.08562
4.08678 24.75639 0.99399 0.45755 29.74139
4.28664 24.6625 1.07418 0.48785 29.53337
4.19566 24.84981 1.0812 0.44263 29.4725
4.12673 24.96195 1.07495 0.42486 29.45253
4.14174 24.5759 1.10092 0.46811 29.75106
4.01141 24.49665 1.0311 0.41284 30.06722
3.88295 25.17277 1.05776 0.40277 29.50731
3.94743 24.40539 1.07244 0.45088 30.15949
4.03776 25.13014 1.00482 0.52607 29.34345
3.98667 24.79539 1.00658 0.51851 29.73402
4.01052 24.83342 1.07725 0.50164 29.62385
4.11384 24.07889 1.08746 0.5001 30.26952
4.03645 24.48478 1.09672 0.50891 29.91675
4.044 24.68485 1.10765 0.45304 29.7528
3.91808 24.69967 1.0179 0.42639 29.96594
4.00662 24.80163 1.03659 0.44526 29.74768
4.26173 24.40227 1.11214 0.43599 29.82913
4.25205 24.09188 1.06323 0.48927 30.15255
4.16609 24.42932 1.06399 0.50473 29.89015
4.23464 24.24666 1.05855 0.48174 30.02634
4.43425 24.37188 1.06747 0.49184 29.68797
4.42986 24.19528 1.10555 0.48663 29.83486
4.54499 24.39126 1.13162 0.57857 29.43145
4.30977 24.44076 1.18204 0.51061 29.61158
4.33727 24.4157 1.18099 0.4664 29.63936
4.20057 24.20335 1.13215 0.53748 29.9871
4.03827 24.10036 1.16177 0.51077 30.24812
4.36276 23.96044 1.15619 0.47357 30.09254
4.05679 24.57085 1.09692 0.4464 29.86955
4.03228 24.79699 1.07138 0.43616 29.70243
4.01476 24.59882 1.06792 0.47081 29.90704
3.87865 24.60869 1.0498 0.41695 30.08279
