"V1" "V2" "V3" "V4" "V5"
8.24681 16.46633 12.70475 0.43248 22.26449
8.38413 16.40873 12.78753 0.4459 22.13239
8.22714 16.4479 12.23968 0.4316 22.75921
7.53528 16.88518 12.98943 0.43087 22.28552
8.74645 16.07818 12.73068 0.49392 22.104
8.46089 16.5423 12.51405 0.4992 22.1856
8.053 16.8048 13.23661 0.50593 21.65037
8.99399 16.72335 11.46638 0.46249 22.50014
8.34042 16.46571 12.76266 0.46323 22.14688
7.98417 16.20595 12.90271 0.46529 22.54906
8.85587 15.95222 12.16647 0.46978 22.65293
7.99748 16.69905 12.6666 0.4377 22.32196
8.24947 16.85328 12.61122 0.47698 21.95868
8.29572 16.07852 12.93954 0.45916 22.30629
7.80935 16.54794 13.53708 0.43266 21.8187
7.64138 17.28482 12.52643 0.43116 22.21141
8.27268 16.79686 12.48693 0.42335 22.12931
8.55215 16.34688 14.03278 0.45057 20.85408
8.1903 16.73843 13.24259 0.43179 21.62241
8.16544 16.53202 13.74878 0.47674 21.27726
8.1472 16.64545 13.34468 0.42114 21.70293
7.69394 16.47219 14.51517 0.46817 21.06238
8.20148 16.35359 13.24764 0.50389 21.87684
8.10514 16.5635 13.50187 0.44151 21.53449
8.64756 16.9062 12.75923 0.44148 21.41203
8.45118 16.74916 13.26978 0.40023 21.31026
7.59135 16.92453 13.83744 0.36748 21.49558
7.85473 17.34067 13.33819 0.37168 21.40974
7.606 16.64831 12.8848 0.36752 22.61421
7.9937 17.96624 12.43896 0.43744 21.33836
8.24747 16.49409 12.63152 0.35977 22.36564
8.65983 17.71678 12.15786 0.40923 21.22611
8.22026 16.9867 12.54186 0.39658 21.98615
8.33113 16.26197 12.30697 0.40836 22.77853
8.31529 16.66823 11.93728 0.38212 22.77547
7.92124 16.37478 13.30807 0.37831 22.1616
7.69687 17.36779 13.27486 0.39407 21.39743
7.93899 17.5295 12.52573 0.41956 21.72782
7.63914 16.28041 13.40899 0.45457 22.35403
7.45195 16.65923 13.90952 0.44151 21.70569
7.65153 16.77274 13.6358 0.42174 21.66774
7.66208 16.82494 13.67201 0.43622 21.54287
8.04408 16.64881 12.63738 0.41861 22.34936
7.81742 16.1927 13.09098 0.40953 22.59031
7.63288 16.20867 13.08258 0.40682 22.74327
7.78731 16.51506 12.9027 0.35699 22.50246
7.78134 16.55578 14.14742 0.38826 21.2665
7.5861 16.03135 13.78674 0.3341 22.35716
8.02175 15.44304 13.76994 0.34065 22.51503
8.2994 16.41557 13.57914 0.43616 21.39698
7.94849 17.1239 13.67351 0.40768 21.02325
8.7501 16.06929 12.5796 0.40504 22.29212
7.87402 17.01991 12.91224 0.39275 21.90237
7.65299 16.79583 12.81804 0.39653 22.41436
7.61236 16.61253 12.52486 0.39674 22.91639
8.11623 16.84053 12.59571 0.42836 22.16017
7.91564 16.43869 12.62581 0.39564 22.7301
8.00691 16.46783 12.60425 0.41879 22.60589
7.85938 16.54572 12.76979 0.41458 22.52429
7.42784 16.16381 13.23086 0.40265 22.84713
8.1521 16.56322 12.26317 0.35275 22.74056
7.92387 17.42311 11.36886 0.36285 22.98655
8.10047 16.60589 12.83644 0.44166 22.12973
7.30341 16.71046 12.39319 0.4471 23.22397
7.73878 16.83776 12.23746 0.45603 22.81639
7.76244 16.49658 12.83016 0.44993 22.57294
7.9863 16.93081 12.07343 0.4437 22.6498
7.91031 16.49917 13.29969 0.39044 22.00125
7.82913 15.90448 13.3747 0.38431 22.61411
8.1463 15.58727 13.57957 0.40835 22.38924
9.03115 15.88293 12.84146 0.47653 21.8753
8.71168 16.43861 12.92071 0.44091 21.65435
8.54156 16.39153 13.35228 0.43216 21.43478
8.66821 15.55803 13.69009 0.36909 21.85211
7.91773 16.75445 12.79118 0.29971 22.33821
7.63898 16.84912 13.52597 0.36784 21.83582
7.92326 16.52623 13.78863 0.38694 21.51695
7.41331 16.73311 13.46616 0.37333 22.15979
7.94978 16.66304 12.54818 0.42967 22.51454
8.6009 16.51207 12.79615 0.4605 21.73175
8.06366 16.60263 13.02309 0.46973 21.95195
8.27397 16.35021 12.46602 0.4694 22.51398
8.10908 16.85611 12.27736 0.52099 22.31977
7.88383 16.39967 12.94763 0.46649 22.37613
7.87109 15.87847 13.68941 0.44784 22.23262
7.45287 16.86355 13.32624 0.49618 21.95045
7.43684 16.22431 13.80667 0.5406 22.10452
7.76214 16.80117 12.6192 0.52773 22.37126
8.08202 16.10354 12.86139 0.55617 22.47464
8.17757 16.11028 12.14417 0.61841 23.01815
7.02615 16.67532 13.1641 0.48476 22.7344
7.84448 16.95807 12.24599 0.50327 22.53892
7.79332 16.167 13.35559 0.47905 22.35147
8.0044 16.42903 12.11032 0.39377 23.13138
8.20028 16.3583 13.10012 0.49539 21.93885
7.862 16.78644 12.33742 0.48097 22.59955
7.67825 17.58633 12.70238 0.56134 21.58489
8.17637 17.15847 12.43112 0.56919 21.76675
8.0326 17.62666 12.42251 0.50634 21.53568
7.94088 17.34409 12.726 0.47873 21.6232
7.99406 16.41328 12.49099 0.37796 22.78851
8.34763 16.18085 12.85762 0.42585 22.26103
8.57628 15.79929 12.36587 0.48899 22.82774
8.53489 16.22265 11.94921 0.48602 22.87956
8.82034 17.12847 11.61959 0.52568 22.03545
8.05129 17.55664 11.75648 0.51432 22.24924
8.05308 17.76505 12.11814 0.58535 21.7116
8.04642 17.37677 12.50821 0.55114 21.71135
8.10295 16.54548 12.50569 0.56231 22.43294
8.31755 16.50432 11.77672 0.60972 22.94394
7.95365 17.63946 11.71876 0.63157 22.18655
8.09244 17.75132 11.35683 0.57376 22.32006
7.4294 17.42798 12.05026 0.51215 22.66751
8.74019 16.83918 12.05486 0.58466 21.92805
8.12136 17.87395 12.01009 0.46712 21.72818
8.41386 17.6536 11.21304 0.43678 22.40042
8.25089 17.33418 12.24289 0.56659 21.78841
8.08309 18.71775 11.45514 0.53975 21.33655
8.53621 17.00501 11.4943 0.57496 22.48995
8.45296 17.0317 11.20628 0.70419 22.76762
