"mean","left.bound","right.bound","subgroup","sex","nat"
2.5296674,1.6647648,3.393842,"F-H","F",1
5.10725694,4.5318312,5.6728508,"F-B","F",1
1.32801637,0.8761896,1.7850132,"M-H","M",1
3.15149586,2.7510488,3.5422876,"M-B","M",1
3.25380767,2.228688,4.2052444,"F-H","F",0
6.67965157,5.8051396,7.5971072,"F-B","F",0
1.7420726,1.1925748,2.269854,"M-H","M",0
4.12155351,3.4955248,4.7933152,"M-B","M",0
