"mean","left.bound","right.bound","subgroup","sex","nat"
-2.47634258,-3.1422264,-1.759912,"F-H","F",1
-8.22339623,-8.6147192,-7.8242408,"F-B","F",1
-2.06326533,-2.8462804,-1.2321448,"M-H","M",1
-7.74447052,-8.2553668,-7.1976844,"M-B","M",1
-2.93272534,-3.7565212,-2.0822008,"F-H","F",0
-9.41419014,-9.987236,-8.8323268,"F-B","F",0
-2.40013978,-3.2662172,-1.4796908,"M-H","M",0
-8.64870812,-9.3446856,-7.9452688,"M-B","M",0
