"mean","left.bound","right.bound","subgroup","sex","nat"
0.09569404,-0.1049784,0.3159132,"F-H","F",1
0.76612847,0.6190776,0.9235804,"F-B","F",1
0.10386552,-0.0149604,0.2425608,"M-H","M",1
0.73309575,0.6100904,0.8628828,"M-B","M",1
0.08330393,-0.0718264,0.2467312,"F-H","F",0
0.68724706,0.515864,0.8753164,"F-B","F",0
0.07854502,-0.00846400000000002,0.1700008,"M-H","M",0
0.58254118,0.449614,0.7309136,"M-B","M",0
